company,segment,subtype,region,town,website,fit_score,size_band,velvet_angle,why_fit,email,phone,contact_name,linkedin,contact_status,source
Lifestory,Lifestyle / interiors boutique,Scandinavian design store,Scotland,Edinburgh,lifestoryshop.com,Low,SME,Only design-led velvet pieces likely to fit their Scandi curation,Scandi-led curation may limit fit — test with a tight edit,,,,,Needs enrichment,web-search
Hoos,Lifestyle / interiors boutique,Nordic + local homeware,Scotland,Glasgow,hooshome.com,Low,SME,Statement velvet as contrast to Nordic minimalism,Nordic aesthetic — narrower fit; worth a targeted approach,,,,,Needs enrichment,web-search
Oraanj Interiors,Interior designer,Residential + hospitality + FF&E,London,London,oraanj-interiors.co.uk,High,Mid,Custom velvet = spec-able bespoke pieces for their FF&E projects,"Full FF&E procurement service — specifies & buys furniture/lighting per project",,,,,Needs enrichment,web-search
Make Bespoke Studio,Interior designer,Bespoke residential & hospitality,London,Chelsea Harbour,makebespoke.com,High,Mid,Bespoke velvet upholstery slots into their bespoke furniture network,Coordinates specialist workshops for bespoke furniture — potential make partner + buyer,,,,,Needs enrichment,web-search
Toni Bond Interiors,Interior designer,Design + procurement,UK,UK,tonibond.co.uk,High,SME,Velvet statement pieces for their furniture design & procurement service,Runs furniture design & procurement — specifies wholesale pieces,,,,,Needs enrichment,web-search
Jessica Lightbody,Interior designer,Hospitality / hotel FF&E,UK,UK,jessicalightbody.co.uk,High,Mid,Bold velvet for boutique-hotel lobbies/bars — her specialism,Luxury hospitality interiors + FF&E procurement for boutique hotels,,,,,Needs enrichment,web-search
SP3 London,Interior designer,FF&E design & procurement,London,London,sp3london.com,High,Mid,Custom velvet contract pieces for their end-to-end FF&E projects,End-to-end FF&E specification & procurement,,,,,Needs enrichment,web-search
Occa Design Studio,Interior designer,Hotel FF&E procurement,UK,UK,occa-design.com,High,Mid,Statement velvet for hospitality schemes,FF&E & OS&E procurement for hotels — volume contract buyer,,,,,Needs enrichment,web-search
Cheshire Interiors,Interior designer,Custom furniture & interiors,North West,Cheshire,cheshire-interiors.com,High,SME,Custom velvet as a made-to-order line for their bespoke projects,"Custom-made furniture & bespoke interiors, local to Blackpool",,,,,Needs enrichment,web-search
Hospitality Projects,Hospitality / contract FF&E,Bespoke hotel furniture,UK,UK,hospitality-projects.com,High,Mid,Custom velvet for bespoke hotel seating/headboards,15+ yrs bespoke hotel furniture — contract volume buyer,,,,,Needs enrichment,web-search
Elite FF&E,Hospitality / contract FF&E,Bespoke hospitality furniture,UK,UK,eliteffe.co.uk,High,Mid,Velvet upholstery for hotel/developer projects,Bespoke furniture + procurement for hotels & developers,,,,,Needs enrichment,web-search
Ultimate Commercial Interiors,Hospitality / contract FF&E,FF&E contracting,UK,UK,ultimategroup.uk.com,Medium,Mid,Velvet contract seating within fit-out packages,Specifies & sources FF&E for fit-out projects — volume,,,,,Needs enrichment,web-search
Select Contract Furniture,Hospitality / contract FF&E,Hotel furniture,UK,UK,select-contract-furniture.com,Medium,Mid,Velvet signature chairs for hotel operators,Supplies hotel operators & designers — contract channel,,,,,Needs enrichment,web-search
The Staging Works,Home staging / furnisher,Property styling & staging,UK,UK,thestagingworks.co.uk,High,SME,Photogenic velvet hero pieces lift staged rooms & listing photos,Buys/rents furniture in volume for staging — repeat purchaser,,,,,Needs enrichment,web-search
InStyle Direct,Home staging / furnisher,Airbnb & short-let furnishing,UK,UK,instyledirect.com,High,Mid,Statement velvet in furnishing packages (£3k+) as premium upsell,High-volume furnishing packages — repeat bulk buyer,,,,,Needs enrichment,web-search
HouseWow,Home staging / furnisher,Property styling & furniture rental,UK,UK,housewow.co.uk,High,SME,Velvet artwork & accent pieces for SA/holiday-let styling,"Furnishes SA, HMO, holiday lets — furniture, artwork, lighting, rugs",,,,,Needs enrichment,web-search
Home Staging London,Home staging / furnisher,Turnkey staging & furnishing,London,London,homestaginglondon.co.uk,Medium,SME,Velvet statement pieces for turnkey staged homes,Turnkey furnishing & styling — recurring furniture demand,,,,,Needs enrichment,web-search
Hamilton Home Staging,Home staging / furnisher,Airbnb & hotel design,UK,UK,hamiltonhomestaging.co.uk,Medium,SME,Velvet + lighting + artwork bundles for Airbnb schemes,Procures furniture/lighting/art for Airbnb & hotel design,,,,,Needs enrichment,web-search
Sofas & Stuff,Independent furniture retailer,British bespoke sofas,National (multi-showroom),Knutsford + UK,sofasandstuff.com,Low,Mid,Limited — they make their own upholstery; accessories/lighting only,Bespoke sofa maker (partial competitor) — approach for accessories/lighting not upholstery,,,,,Needs enrichment,web-search
Cotswold Company,Furniture retailer,Oak & painted furniture,National,Stow-on-the-Wold + UK,cotswoldco.com,Low,Large,"Own-brand focused; velvet accents/accessories only, low probability",Large own-brand retailer — lower wholesale-buy likelihood; deprioritise,,,,,Needs enrichment,web-search
Curtis Furniture,Hospitality / contract FF&E,Hotel bedroom furniture (manufacturer),Yorkshire,Leeds,curtisfurniture.co.uk,Low,Large,Manufacturer/competitor — partnership not sales,Makes own contract furniture — competitor; watch, don't pitch,,,,,Needs enrichment,web-search
Gunter & Co,Interior designer,Residential interiors,London,London,gunterandco.com,Medium,SME,Velvet statement pieces for their residential schemes,Residential interior design studio — specifies furniture,,,,,Needs enrichment,web-search
Design 44,Lifestyle / interiors boutique,Scandinavian design & gifts,UK,UK,design44.co.uk,Low,SME,Design-led velvet only; Scandi curation limits fit,Scandi/design-led curation — narrow fit; test lightly,,,,,Needs enrichment,web-search
HelloGuest,Home staging / furnisher,Airbnb management & decoration,UK,UK,helloguest.co.uk,Medium,SME,Velvet accents in their Airbnb decoration service,Furnishes Airbnb properties — recurring furniture need,,,,,Needs enrichment,web-search
